"A101"	"A90"	"A264"	"A263"	"A274"	"A199"	"A114"	"A110"	"A136"	"A246"	"A44"	"A273"	"A248"	"A47"	"A286"	"A281"	"A117"	"A60"	"A218"	"A220"	"A45"	"A164"	"A184"	"A159"	"A203"	"A32"	"A235"	"A231"	"A250"	"A290"	"A76"	"A126"	"A219"	"A106"	"A229"	"A67"	"A112"	"A118"	"A111"	"A242"	"A245"	"A20"	"A89"	"A156"	"A236"	"A256"	"A178"	"A77"	"A198"	"A200"	"A02"	"A233"	"A271"	"A169"	"A302"	"A303"	"A59"	"A70"	"A74"	"A68"	"A07"	"A27"	"A99"	"A94"	"A88"	"A86"	"A87"	"A121"	"A132"	"A138"	"A149"	"A147"	"A143"	"A146"	"A145"	"A185"	"A180"	"A154"	"A174"	"A155"	"A166"	"A176"	"A182"	"A160"	"A177"	"A186"	"A190"	"A211"	"A195"	"A208"	"A205"	"A217"	"A189"	"A215"	"A188"	"A06"	"A40"	"A39"	"A36"	"A79"	"A05"	"A26"	"A15"	"A35"	"A238"	"A230"	"A23"	"A234"	"A240"	"A257"	"A260"	"A268"	"A251"	"A259"	"A275"	"A261"	"A292"	"A288"	"A279"	"A50"	"A280"	"A284"	"A301"	"A308"	"A224"	"A297"	"A304"	"A183"	"A202"	"A46"
"OTU_197481"	0	58	0	31	0	63	6	0	0	0	0	9	0	0	1	0	5	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	3	0	0	0	0	11	44	25	61	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"OTU_308544"	1	1378	2	299	0	1132	107	0	0	0	0	117	1	0	0	0	101	1	0	0	0	0	0	0	644	0	0	1	0	0	1	1	43	0	1	1	0	237	538	419	719	177	2	0	1	0	1	1	0	0	1	1	0	1	2	4	0	1	1	1	0	0	0	0	0	0	1	0	1	2	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	1	1	0	0	0	2	1	1	0	0	0	0
"OTU_307113"	0	476	1	120	0	193	27	1	1	0	2	29	0	1	0	0	30	0	0	4	0	0	0	0	111	0	0	1	0	0	1	0	13	0	0	0	1	984	118	96	189	443	1	1	0	0	0	1	0	1	0	0	0	0	0	9	1	0	1	0	0	0	0	1	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0
"OTU_196100"	0	108	0	21	0	77	12	0	0	0	0	4	0	0	0	0	7	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	3	0	0	0	1	35	46	26	32	15	0	0	0	0	0	0	0	0	0	0	0	1	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"OTU_3014082"	0	1081	0	26	1	69	129	0	0	0	0	147	0	1	0	1	372	1	0	0	0	0	0	0	326	1	1	0	0	0	1	1	31	0	0	0	0	74	2	405	1832	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0
"OTU_181756"	0	0	0	2	0	0	28	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_4359797"	0	24	0	22	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	1	1	71	128	5	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_182196"	0	1	0	0	0	0	11	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_175704"	0	59	1	43	0	52	7	0	0	0	0	21	1	0	0	0	14	0	0	1	0	0	0	0	35	0	0	1	0	1	0	1	6	0	1	0	0	15	27	28	71	7	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"OTU_179319"	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	668	1	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_288930"	0	0	0	0	0	0	1	11	0	0	0	0	0	0	1	0	0	0	0	0	42	0	0	0	0	0	0	92	0	0	0	0	0	0	103	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0
"OTU_342110"	0	0	0	0	0	1	33	148	0	0	1	7	0	0	0	0	0	0	0	0	88	0	0	0	1	0	0	241	0	0	0	0	0	0	247	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	70	0	923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	33	1	0	0	0	0	0
